"","date","n.absent","n.students","n.schools","absent_proportion"
"1",2008-09-07,449,35979,39,1.2
"2",2008-09-14,798,51591,54,1.5
"3",2008-09-21,751,45624,47,1.6
"4",2008-09-28,1517,47442,49,3.2
"5",2008-10-05,999,46233,48,2.2
"6",2008-10-12,1306,50146,52,2.6
"7",2008-10-19,1262,59707,62,2.1
"8",2008-10-26,1176,59673,62,2
"9",2008-11-02,1335,55400,58,2.4
"10",2008-11-09,1044,54909,58,1.9
"11",2008-11-16,1159,47763,50,2.4
"12",2008-11-23,1111,50139,53,2.2
"13",2008-11-30,1292,55920,59,2.3
"14",2008-12-07,1479,58661,63,2.5
"15",2008-12-14,1862,60334,65,3.1
"16",2008-12-21,1937,65176,70,3
"17",2008-12-28,417,7700,8,NA
"18",2009-01-04,293,6300,8,NA
"19",2009-01-11,1912,76361,86,2.5
"20",2009-01-18,2023,73684,82,2.7
"21",2009-01-25,2826,68854,77,4.1
"22",2009-02-01,0,0,0,NA
"23",2009-02-08,1928,45465,50,4.2
"24",2009-02-15,3694,104720,119,3.5
"25",2009-02-22,3726,109712,123,3.4
"26",2009-03-01,3678,110532,126,3.3
"27",2009-03-08,3185,113229,133,2.8
"28",2009-03-15,3662,118637,139,3.1
"29",2009-03-22,3086,118185,138,2.6
"30",2009-03-29,2556,120807,140,2.1
"31",2009-04-05,2979,118405,138,2.5
"32",2009-04-12,1958,52756,65,3.7
"33",2009-04-19,585,12326,13,NA
"34",2009-04-26,2403,116674,137,2.1
"35",2009-05-03,2029,92756,110,2.2
"36",2009-05-10,3038,125059,149,2.4
"37",2009-05-17,2467,125057,150,2
"38",2009-05-24,2553,124170,149,2.1
"39",2009-05-31,1942,94437,114,2.1
"40",2009-06-07,2048,110261,137,1.9
"41",2009-06-14,998,82944,103,1.2
"42",2009-06-21,537,36371,40,1.5
"43",2009-06-28,722,25942,27,2.8
"44",2009-07-05,96,8115,11,NA
"45",2009-07-12,23,2855,7,NA
"46",2009-07-19,1,1381,4,NA
"47",2009-07-26,0,1920,6,NA
"48",2009-08-02,0,1920,6,NA
"49",2009-08-09,0,1920,6,NA
"50",2009-08-16,0,1920,6,NA
"51",2009-08-23,4,1265,3,NA
"52",2009-08-30,1,1213,3,NA
"53",2009-09-06,1287,67375,93,1.9
"54",2009-09-13,3273,108542,140,3
"55",2009-09-20,4083,96213,122,4.2
"56",2009-09-27,7090,118624,150,6
"57",2009-10-04,4104,87922,113,4.7
"58",2009-10-11,4447,128484,162,3.5
"59",2009-10-18,3504,136396,170,2.6
"60",2009-10-25,2834,129082,160,2.2
"61",2009-11-01,2056,100476,127,2
"62",2009-11-08,2830,131819,164,2.1
"63",2009-11-15,2508,134824,163,1.9
"64",2009-11-22,3830,140128,172,2.7
"65",2009-11-29,3775,128225,160,2.9
"66",2009-12-06,3855,140915,171,2.7
"67",2009-12-13,3615,138839,173,2.6
"68",2009-12-20,3644,141910,175,2.6
"69",2009-12-27,981,31457,41,3.1
"70",2010-01-03,0,1485,5,NA
"71",2010-01-10,3001,128373,163,2.3
"72",2010-01-17,2838,127357,161,2.2
"73",2010-01-24,3765,129906,164,2.9
"74",2010-01-31,4410,136982,173,3.2
"75",2010-02-07,4716,138467,175,3.4
"76",2010-02-14,3379,71825,91,4.7
"77",2010-02-21,0,1200,4,NA
"78",2010-02-28,6048,127979,163,4.7
"79",2010-03-07,5769,129972,167,4.4
"80",2010-03-14,5732,133336,169,4.3
"81",2010-03-21,4734,135483,173,3.5
"82",2010-03-28,3825,125840,160,3
"83",2010-04-04,1960,60749,81,3.2
"84",2010-04-11,284,7806,12,NA
"85",2010-04-18,4195,119307,152,3.5
"86",2010-04-25,3817,123234,157,3.1
"87",2010-05-02,4132,122651,153,3.4
"88",2010-05-09,4089,115049,148,3.6
"89",2010-05-16,3917,128482,161,3
